MONTH_END_DATE,PRIMARY_PLAN_TYPE,COUNTRY_CODE,Monthly Active Users
2021-07-31,Free,AD,1260
2021-07-31,Free,AD,1545
2021-07-31,Unknown,AD,1
2021-08-31,Education,AD,17
2021-08-31,Free,AD,1379
2021-09-30,Canva Pro,AD,223
2021-09-30,Education,AD,28
2021-09-30,Free,AD,1379
2021-10-31,Free,AD,2379
2021-11-30,Canva Pro,AD,276
2021-11-30,Canva Pro,AD,255
2021-11-30,Education,AD,33
2021-11-30,Education,AD,33
2021-11-30,Education,AD,24
2021-11-30,Free,AD,2240
2021-12-31,Canva Pro - NFP,AD,1
2021-12-31,Domain,AD,1
2021-12-31,Education,AD,33
2021-12-31,Education,AD,31
2021-12-31,Education,AD,24
2021-12-31,Free,AD,2379
2022-01-31,Domain,AD,1
2022-01-31,Enterprise,AD,1
2022-01-31,Free,AD,1885
2022-02-28,Canva Pro,AD,323
2022-02-28,Domain,AD,1
2022-02-28,Education,AD,38
2022-03-31,Canva for Teams,AD,24
2022-03-31,Canva Pro,AD,302
2022-03-31,Domain,AD,1
2022-03-31,Education,AD,38
2022-03-31,Education,AD,32
2022-03-31,Unknown,AD,1
2022-04-30,Canva Pro,AD,276
2022-04-30,Canva Pro - NFP,AD,4
2022-04-30,Canva Pro - NFP,AD,4
2022-04-30,Domain,AD,1
2022-04-30,Free,AD,2294
2022-05-31,Canva Pro,AD,298
2022-05-31,Free,AD,1885
2022-06-30,Canva Pro - NFP,AD,3
2022-06-30,Domain,AD,1
2022-06-30,Education,AD,24
2022-06-30,Enterprise,AD,1
2022-06-30,Free,AD,2058
2022-06-30,Unknown,AD,0
2022-07-31,Canva Pro,AD,298
2022-07-31,Canva Pro - NFP,AD,3
2022-07-31,Domain,AD,1
2022-08-31,Canva for Teams,AD,38
2022-08-31,Unknown,AD,1
2022-09-30,Canva Pro - NFP,AD,6
2022-10-31,Canva for Teams,AD,54
2022-10-31,Canva Pro,AD,408
2022-10-31,Canva Pro - NFP,AD,5
2022-10-31,Free,AD,3305
2022-12-31,Canva for Teams,AD,63
2022-12-31,Canva Pro - NFP,AD,8
2023-01-31,Canva Pro,AD,448
2023-01-31,Education,AD,54
2023-01-31,Free,AD,3210
2023-01-31,Unknown,AD,1
2023-02-28,Canva Pro,AD,461
2023-02-28,Canva Pro - NFP,AD,7
2023-02-28,Canva Pro - NFP,AD,7
2023-02-28,Canva Pro - NFP,AD,8
2023-02-28,Education,AD,70
2023-02-28,Education,AD,71
2023-03-31,Canva Pro,AD,438
2023-03-31,Canva Pro - NFP,AD,8
2023-03-31,Canva Pro - NFP,AD,5
2023-03-31,Canva Pro - NFP,AD,9
2023-03-31,Education,AD,69
2023-04-30,Canva Pro,AD,448
2023-04-30,Canva Pro,AD,438
2023-04-30,Domain,AD,1
2023-04-30,Unknown,AD,1
2023-05-31,Canva Pro - NFP,AD,6
2023-05-31,Free,AD,3305
2023-05-31,Free,AD,2957
2023-06-30,Canva Pro - NFP,AD,7
2023-06-30,Canva Pro - NFP,AD,7
2023-06-30,Education,AD,55
2023-06-30,Free,AD,3305
2023-07-31,Canva for Teams,AD,71
2023-07-31,Canva for Teams,AD,76
2023-07-31,Canva Pro - NFP,AD,5
2023-07-31,Domain,AD,1
2023-07-31,Education,AD,47
2023-07-31,Enterprise,AD,0
2023-07-31,Free,AD,3278
2023-08-31,Canva for Teams,AD,55
2023-08-31,Domain,AD,1
2023-08-31,Education,AD,55
2023-08-31,Free,AD,2957
2023-09-30,Canva Pro,AD,481
2023-09-30,Free,AD,3013
2023-10-31,Canva for Teams,AD,42
2023-10-31,Canva Pro,AD,622
2023-10-31,Canva Pro,AD,586
2023-10-31,Education,AD,366
2023-10-31,Education,AD,377
2023-10-31,Unknown,AD,1
2023-11-30,Canva Pro,AD,568
2023-11-30,Canva Pro,AD,613
2023-11-30,Canva Pro,AD,600
2023-11-30,Education,AD,377
2023-11-30,Enterprise,AD,0
2023-11-30,Enterprise,AD,1
2023-11-30,Free,AD,4598
2023-12-31,Canva Pro - NFP,AD,8
2023-12-31,Domain,AD,1
2023-12-31,Free,AD,4437
2024-01-31,Domain,AD,1
2024-01-31,Education,AD,377
2024-01-31,Education,AD,366
2024-01-31,Education,AD,364
2024-01-31,Free,AD,4598
2024-02-29,Canva Pro,AD,586
2024-02-29,Canva Pro,AD,566
2024-02-29,Canva Pro,AD,566
2024-02-29,Canva Pro - NFP,AD,12
2024-02-29,Education,AD,534
2024-02-29,Unknown,AD,1
2024-03-31,Canva Pro,AD,612
2024-03-31,Canva Pro,AD,566
2024-03-31,Canva Pro - NFP,AD,11
2024-03-31,Canva Pro - NFP,AD,10
2024-03-31,Education,AD,534
2024-03-31,Education,AD,205
2024-03-31,Free,AD,4170
2024-03-31,Free,AD,4193
2024-03-31,Free,AD,4437
2024-03-31,Unknown,AD,1
2024-04-30,Canva Pro,AD,600
2024-04-30,Canva Pro - NFP,AD,11
2024-04-30,Canva Pro - NFP,AD,12
2024-04-30,Domain,AD,1
2024-04-30,Domain,AD,1
2024-04-30,Enterprise,AD,0
2024-04-30,Free,AD,2793
2024-05-31,Canva Pro,AD,613
2024-05-31,Canva Pro,AD,592
2024-05-31,Canva Pro - NFP,AD,11
2024-05-31,Domain,AD,1
2024-05-31,Domain,AD,1
2024-05-31,Education,AD,474
2024-05-31,Free,AD,4136
2024-06-30,Canva Pro,AD,600
2024-06-30,Canva Pro - NFP,AD,9
2024-06-30,Canva Pro - NFP,AD,10
2024-06-30,Canva Pro - NFP,AD,12
2024-06-30,Education,AD,510
2024-06-30,Enterprise,AD,1
2024-06-30,Free,AD,4167
2024-06-30,Unknown,AD,0
2024-07-31,Canva Pro,AD,580
2024-07-31,Canva Pro,AD,613
2024-07-31,Canva Pro,AD,568
2024-07-31,Canva Pro - NFP,AD,12
2024-07-31,Canva Pro - NFP,AD,12
2024-07-31,Domain,AD,1
2024-07-31,Education,AD,603
2024-07-31,Education,AD,452
2024-07-31,Free,AD,2793
2024-07-31,Free,AD,4397
2024-07-31,Unknown,AD,0
2024-08-31,Canva Pro,AD,515
2024-08-31,Canva Pro,AD,515
2024-08-31,Canva Pro - NFP,AD,12
2024-08-31,Canva Pro - NFP,AD,9
2024-08-31,Canva Pro - NFP,AD,11
2024-08-31,Unknown,AD,1
2024-09-30,Canva for Teams,AD,254
2024-09-30,Canva Pro,AD,478
2024-09-30,Canva Pro,AD,490
2024-09-30,Canva Pro - NFP,AD,13
2024-09-30,Education,AD,676
2024-09-30,Education,AD,603
2024-09-30,Free,AD,5224
2024-09-30,Unknown,AD,1
2024-09-30,Unknown,AD,1
2024-10-31,Canva for Teams,AD,102
2024-10-31,Canva Pro,AD,433
2024-10-31,Canva Pro,AD,540
2024-10-31,Canva Pro,AD,433
2024-10-31,Canva Pro,AD,515
2024-10-31,Canva Pro - NFP,AD,10
2024-10-31,Free,AD,5076
2024-10-31,Free,AD,4390
2024-10-31,Free,AD,4390
2024-10-31,Free,AD,5076
2024-11-30,Canva Pro - NFP,AD,11
2024-11-30,Education,AD,559
2024-11-30,Education,AD,484
2024-11-30,Education,AD,676
2024-11-30,Free,AD,5107
2024-11-30,Free,AD,2749
2024-11-30,Unknown,AD,0
2024-11-30,Unknown,AD,1
2024-12-31,Canva Pro,AD,540
2024-12-31,Canva Pro,AD,515
2024-12-31,Canva Pro - NFP,AD,11
2024-12-31,Education,AD,559
2024-12-31,Free,AD,2749
2024-12-31,Free,AD,5224
2024-12-31,Unknown,AD,1
2020-01-31,Canva Pro,AE,2954
2020-01-31,Canva Pro,AE,3624
2020-01-31,Domain,AE,23
2020-01-31,Education,AE,41
2020-02-29,Canva Pro - NFP,AE,40
2020-02-29,Education,AE,17
2020-02-29,Education,AE,326
2020-02-29,Education,AE,89
2020-02-29,Free,AE,40174
2020-02-29,Free,AE,32655
2020-02-29,Unknown,AE,22
2020-02-29,Unknown,AE,2
2020-03-31,Canva Pro - NFP,AE,14
2020-03-31,Free,AE,48995
2020-04-30,Canva Pro,AE,4147
2020-04-30,Canva Pro - NFP,AE,32
2020-04-30,Domain,AE,2
2020-04-30,Education,AE,17
2020-04-30,Education,AE,79
2020-04-30,Free,AE,40174
2020-05-31,Canva Pro - NFP,AE,39
2020-05-31,Canva Pro - NFP,AE,14
2020-05-31,Domain,AE,8
2020-05-31,Domain,AE,3
2020-05-31,Education,AE,17
2020-06-30,Canva Pro,AE,5379
2020-06-30,Enterprise,AE,39
2020-06-30,Free,AE,52913
2020-06-30,Unknown,AE,9
2020-07-31,Canva Pro,AE,3624
2020-07-31,Canva Pro - NFP,AE,18
2020-07-31,Free,AE,48995
2020-07-31,Unknown,AE,1
2020-08-31,Canva Pro,AE,2093
2020-08-31,Domain,AE,19
2020-08-31,Education,AE,1
2020-08-31,Education,AE,79
2020-08-31,Unknown,AE,2
2020-08-31,Unknown,AE,2
2020-09-30,Canva Pro,AE,3624
2020-09-30,Canva Pro,AE,4620
2020-09-30,Canva Pro - NFP,AE,63
2020-09-30,Canva Pro - NFP,AE,32
2020-09-30,Free,AE,98287
2020-10-31,Canva Pro,AE,1898
2020-10-31,Education,AE,326
2020-11-30,Canva Pro - NFP,AE,14
2020-11-30,Canva Pro - NFP,AE,59
2020-11-30,Education,AE,1261
2020-11-30,Unknown,AE,2
2020-12-31,Canva Pro,AE,8896
2020-12-31,Domain,AE,9
2020-12-31,Education,AE,977
2020-12-31,Free,AE,72965
2020-12-31,Free,AE,72965
2021-01-31,Canva Pro,AE,6208
2021-01-31,Canva Pro,AE,9676
2021-01-31,Canva Pro - NFP,AE,18
2021-01-31,Canva Pro - NFP,AE,14
2021-01-31,Domain,AE,2
2021-01-31,Domain,AE,18
2021-01-31,Domain,AE,1
2021-02-28,Canva Pro,AE,9676
2021-02-28,Canva Pro - NFP,AE,16
2021-02-28,Canva Pro - NFP,AE,22
2021-02-28,Education,AE,889
2021-02-28,Free,AE,87283
2021-02-28,Free,AE,87524
2021-02-28,Unknown,AE,10
2021-03-31,Canva Pro,AE,8180
2021-03-31,Canva Pro - NFP,AE,64
2021-03-31,Education,AE,770
2021-03-31,Education,AE,1100
2021-03-31,Unknown,AE,16
2021-04-30,Canva Pro,AE,8977
2021-04-30,Canva Pro,AE,9676
2021-04-30,Canva Pro - NFP,AE,22
2021-04-30,Education,AE,770
2021-04-30,Unknown,AE,16
2021-05-31,Canva Pro,AE,5990
2021-05-31,Canva Pro,AE,6503
2021-05-31,Canva Pro - NFP,AE,35
2021-05-31,Enterprise,AE,43
2021-06-30,Canva for Teams,AE,1100
2021-06-30,Canva Pro,AE,7809
2021-06-30,Canva Pro,AE,5990
2021-06-30,Unknown,AE,0
2021-07-31,Canva for Teams,AE,977
2021-07-31,Canva Pro - NFP,AE,32
2021-07-31,Enterprise,AE,43
2021-07-31,Unknown,AE,6
2021-08-31,Canva Pro,AE,8896
2021-08-31,Canva Pro - NFP,AE,144
2021-08-31,Domain,AE,2
2021-08-31,Education,AE,770
2021-08-31,Free,AE,65806
2021-08-31,Unknown,AE,17
2021-09-30,Canva Pro,AE,12161
2021-09-30,Canva Pro,AE,12924
2021-09-30,Education,AE,2456
2021-10-31,Canva for Teams,AE,1988
2021-10-31,Unknown,AE,5
2021-10-31,Unknown,AE,6
2021-11-30,Domain,AE,7
2021-11-30,Education,AE,1963
2021-11-30,Unknown,AE,101
2021-11-30,Unknown,AE,29
2021-12-31,Canva Pro - NFP,AE,123
2021-12-31,Education,AE,2732
2021-12-31,Enterprise,AE,123
2021-12-31,Free,AE,112205
2021-12-31,Free,AE,129298
2021-12-31,Free,AE,137833
2021-12-31,Unknown,AE,6
2022-01-31,Domain,AE,2
2022-01-31,Domain,AE,17
2022-01-31,Domain,AE,8
2022-01-31,Education,AE,1880
2022-01-31,Unknown,AE,13
2022-02-28,Canva for Teams,AE,2719
2022-02-28,Canva Pro,AE,11584
2022-02-28,Education,AE,1963
2022-03-31,Canva Pro,AE,12161
2022-03-31,Canva Pro - NFP,AE,124
2022-03-31,Education,AE,2456
2022-03-31,Free,AE,122748
2022-03-31,Free,AE,117506
2022-03-31,Free,AE,137833
2022-03-31,Unknown,AE,11
2022-03-31,Unknown,AE,9
2022-04-30,Canva for Teams,AE,1963
2022-04-30,Canva Pro,AE,17426
2022-04-30,Canva Pro,AE,15174
2022-04-30,Enterprise,AE,92
2022-04-30,Free,AE,120091
2022-04-30,Free,AE,140247
2022-04-30,Unknown,AE,36
2022-05-31,Canva Pro,AE,12161
2022-05-31,Canva Pro,AE,14342
2022-05-31,Unknown,AE,6
2022-06-30,Canva Pro - NFP,AE,175
2022-07-31,Canva Pro - NFP,AE,166
2022-07-31,Domain,AE,8
2022-07-31,Domain,AE,1
2022-08-31,Canva Pro,AE,19568
2022-08-31,Canva Pro,AE,16431
2022-08-31,Canva Pro,AE,19568
2022-08-31,Free,AE,158538
2022-09-30,Canva for Teams,AE,3910
2022-09-30,Canva Pro,AE,11584
2022-09-30,Canva Pro,AE,15461
2022-09-30,Canva Pro,AE,16079
2022-09-30,Canva Pro - NFP,AE,222
2022-09-30,Domain,AE,6
2022-09-30,Unknown,AE,19
2022-09-30,Unknown,AE,27
2022-09-30,Unknown,AE,6
2022-10-31,Canva Pro,AE,24416
2022-10-31,Canva Pro - NFP,AE,218
2022-10-31,Canva Pro - NFP,AE,303
2022-10-31,Free,AE,158538
2022-11-30,Canva for Teams,AE,3910
2022-11-30,Canva Pro - NFP,AE,222
2022-11-30,Education,AE,3910
2022-11-30,Education,AE,3910
2022-11-30,Enterprise,AE,167
2022-11-30,Free,AE,199817
2022-11-30,Unknown,AE,2
2022-11-30,Unknown,AE,6
2022-12-31,Canva Pro,AE,25959
2022-12-31,Canva Pro - NFP,AE,312
2022-12-31,Domain,AE,1
2022-12-31,Free,AE,125943
2022-12-31,Free,AE,199817
2022-12-31,Free,AE,187877
2022-12-31,Free,AE,187877
2022-12-31,Unknown,AE,2
2022-12-31,Unknown,AE,5
2022-12-31,Unknown,AE,1
2022-12-31,Unknown,AE,10
2022-12-31,Unknown,AE,1
2022-12-31,Unknown,AE,22
2023-01-31,Canva for Teams,AE,5161
2023-01-31,Canva Pro,AE,21268
2023-01-31,Canva Pro - NFP,AE,213
2023-01-31,Canva Pro - NFP,AE,258
2023-01-31,Canva Pro - NFP,AE,292
2023-01-31,Education,AE,5745
2023-01-31,Education,AE,6468
2023-02-28,Canva Pro,AE,22705
2023-02-28,Canva Pro,AE,22705
2023-02-28,Canva Pro,AE,24416
2023-02-28,Canva Pro - NFP,AE,303
2023-02-28,Education,AE,6439
2023-02-28,Education,AE,4625
2023-02-28,Enterprise,AE,167
2023-02-28,Free,AE,201597
2023-03-31,Canva Pro,AE,22117
2023-03-31,Canva Pro - NFP,AE,192
2023-03-31,Enterprise,AE,167
2023-03-31,Free,AE,211886
2023-04-30,Education,AE,6439
2023-04-30,Unknown,AE,8
2023-04-30,Unknown,AE,19
2023-05-31,Canva for Teams,AE,5161
2023-05-31,Canva Pro,AE,30021
2023-05-31,Canva Pro - NFP,AE,213
2023-05-31,Canva Pro - NFP,AE,312
2023-05-31,Education,AE,6468
2023-05-31,Education,AE,6439
2023-05-31,Unknown,AE,1
2023-06-30,Canva Pro,AE,28258
2023-06-30,Education,AE,7480
2023-06-30,Education,AE,6468
2023-06-30,Education,AE,7480
2023-06-30,Free,AE,211886
2023-06-30,Free,AE,220185
2023-06-30,Unknown,AE,8
2023-06-30,Unknown,AE,8
2023-07-31,Canva for Teams,AE,4792
2023-07-31,Canva Pro - NFP,AE,291
2023-07-31,Education,AE,4625
2023-07-31,Education,AE,7707
2023-07-31,Enterprise,AE,167
2023-07-31,Enterprise,AE,160
2023-07-31,Free,AE,185325
2023-07-31,Unknown,AE,33
2023-08-31,Canva Pro,AE,28258
2023-08-31,Canva Pro,AE,28258
2023-08-31,Canva Pro,AE,28258
2023-08-31,Canva Pro - NFP,AE,312
2023-08-31,Canva Pro - NFP,AE,213
2023-08-31,Domain,AE,9
2023-08-31,Education,AE,7480
2023-08-31,Education,AE,7707
2023-08-31,Free,AE,212122
2023-08-31,Free,AE,212122
2023-08-31,Free,AE,219946
2023-08-31,Unknown,AE,19
2023-09-30,Canva Pro - NFP,AE,370
2023-09-30,Education,AE,9108
2023-09-30,Enterprise,AE,174
2023-09-30,Free,AE,294148
2023-09-30,Unknown,AE,1
2023-10-31,Canva Pro,AE,34544
2023-10-31,Canva Pro,AE,34544
2023-10-31,Education,AE,13624
2023-10-31,Education,AE,13699
2023-10-31,Unknown,AE,3
2023-11-30,Canva Pro,AE,34814
2023-11-30,Canva Pro,AE,32796
2023-11-30,Canva Pro,AE,30071
2023-11-30,Canva Pro,AE,34334
2023-11-30,Canva Pro - NFP,AE,405
2023-11-30,Canva Pro - NFP,AE,405
2023-11-30,Canva Pro - NFP,AE,367
2023-11-30,Domain,AE,2
2023-11-30,Domain,AE,17
2023-11-30,Education,AE,12793
2023-11-30,Education,AE,15773
2023-11-30,Free,AE,272625
2023-11-30,Unknown,AE,12
2023-11-30,Unknown,AE,6
2023-12-31,Education,AE,11892
2023-12-31,Free,AE,308565
2023-12-31,Unknown,AE,11
2024-01-31,Canva for Teams,AE,5161
2024-01-31,Canva Pro - NFP,AE,370
2024-01-31,Canva Pro - NFP,AE,381
2024-01-31,Education,AE,16287
2024-01-31,Unknown,AE,0
2024-01-31,Unknown,AE,9
2024-02-29,Canva Pro,AE,34544
2024-02-29,Domain,AE,32
2024-02-29,Education,AE,12940
2024-02-29,Unknown,AE,36
2024-02-29,Unknown,AE,1
2024-03-31,Canva for Teams,AE,3771
2024-03-31,Canva Pro - NFP,AE,401
2024-03-31,Domain,AE,16
2024-03-31,Free,AE,298305
2024-03-31,Unknown,AE,2
2024-04-30,Canva for Teams,AE,3771
2024-04-30,Canva Pro,AE,33847
2024-04-30,Canva Pro,AE,34530
2024-04-30,Education,AE,13624
2024-04-30,Free,AE,298305
2024-04-30,Free,AE,331476
2024-04-30,Free,AE,294148
2024-04-30,Free,AE,257837
2024-04-30,Unknown,AE,29
2024-04-30,Unknown,AE,29
2024-05-31,Canva Pro,AE,34758
2024-05-31,Education,AE,9108
2024-05-31,Education,AE,10151
2024-05-31,Education,AE,13358
2024-05-31,Free,AE,236084
2024-06-30,Canva Pro - NFP,AE,476
2024-06-30,Canva Pro - NFP,AE,476
2024-06-30,Domain,AE,19
2024-06-30,Education,AE,9619
2024-06-30,Free,AE,257837
2024-06-30,Unknown,AE,1
2024-06-30,Unknown,AE,27
2024-07-31,Canva Pro,AE,34805
2024-07-31,Canva Pro,AE,32144
2024-07-31,Canva Pro,AE,32207
2024-07-31,Canva Pro,AE,33847
2024-07-31,Canva Pro - NFP,AE,405
2024-07-31,Free,AE,295250
2024-07-31,Free,AE,294708
2024-07-31,Free,AE,294148
2024-07-31,Unknown,AE,8
2024-07-31,Unknown,AE,19
2024-08-31,Canva for Teams,AE,2492
2024-08-31,Canva for Teams,AE,1350
2024-08-31,Canva Pro,AE,34805
2024-08-31,Canva Pro,AE,32144
2024-08-31,Unknown,AE,9
2024-09-30,Canva for Teams,AE,12444
2024-09-30,Canva for Teams,AE,11443
2024-09-30,Canva Pro,AE,34805
2024-09-30,Canva Pro - NFP,AE,391
2024-09-30,Domain,AE,3
2024-09-30,Education,AE,12444
2024-09-30,Education,AE,19926
2024-09-30,Unknown,AE,9
2024-10-31,Canva Pro,AE,34758
2024-10-31,Canva Pro - NFP,AE,476
2024-10-31,Canva Pro - NFP,AE,381
2024-10-31,Education,AE,22174
2024-10-31,Free,AE,327586
2024-11-30,Canva Pro,AE,32207
2024-11-30,Canva Pro,AE,36531
2024-11-30,Canva Pro,AE,32207
2024-11-30,Domain,AE,101
2024-11-30,Education,AE,11811
2024-11-30,Education,AE,19926
2024-11-30,Enterprise,AE,131
2024-11-30,Free,AE,399179
2024-11-30,Free,AE,327586
2024-11-30,Free,AE,290990
2024-11-30,Unknown,AE,1
2024-11-30,Unknown,AE,0
2024-12-31,Canva Pro,AE,36210
2024-12-31,Canva Pro,AE,34530
2024-12-31,Canva Pro - NFP,AE,425
2024-12-31,Domain,AE,13
2024-12-31,Education,AE,12444
2024-12-31,Free,AE,401289
2024-12-31,Free,AE,399179
2024-12-31,Free,AE,374456
2020-01-31,Canva Pro,AF,5
2020-01-31,Canva Pro - NFP,AF,2
2020-01-31,Education,AF,2
2020-01-31,Education,AF,3
2020-02-29,Canva for Teams,AF,1
2020-02-29,Canva Pro,AF,6
2020-02-29,Canva Pro - NFP,AF,1
2020-02-29,Canva Pro - NFP,AF,1
2020-02-29,Canva Pro - NFP,AF,1
2020-02-29,Education,AF,5
2020-03-31,Canva Pro - NFP,AF,1
2020-03-31,Education,AF,4
2020-03-31,Education,AF,4
2020-04-30,Unknown,AF,1
2020-05-31,Domain,AF,1
2020-05-31,Free,AF,401
2020-06-30,Education,AF,4
2020-06-30,Free,AF,511
2020-07-31,Free,AF,511
2020-07-31,Free,AF,392
2020-08-31,Unknown,AF,0
2020-09-30,Canva Pro,AF,7
2020-09-30,Canva Pro - NFP,AF,2
2020-09-30,Education,AF,3
2020-09-30,Free,AF,511
2020-10-31,Canva for Teams,AF,1
2020-10-31,Canva Pro,AF,7
2020-10-31,Canva Pro - NFP,AF,1
2020-10-31,Free,AF,311
2020-10-31,Unknown,AF,0
2020-11-30,Canva Pro,AF,7
2020-11-30,Canva Pro,AF,6
2020-11-30,Canva Pro,AF,8
2020-11-30,Canva Pro - NFP,AF,1
2020-11-30,Education,AF,1
2020-11-30,Education,AF,3
2020-11-30,Enterprise,AF,1
2020-11-30,Free,AF,463
2020-11-30,Free,AF,270
2020-11-30,Free,AF,392
2020-12-31,Canva Pro,AF,17
2020-12-31,Canva Pro - NFP,AF,2
2020-12-31,Education,AF,1
2020-12-31,Education,AF,5
2020-12-31,Free,AF,765
2021-01-31,Canva Pro,AF,21
2021-01-31,Canva Pro - NFP,AF,1
2021-01-31,Free,AF,677
2021-01-31,Free,AF,682
2021-01-31,Free,AF,594
2021-02-28,Canva Pro - NFP,AF,1
2021-02-28,Education,AF,5
2021-02-28,Free,AF,798
2021-02-28,Free,AF,616
2021-02-28,Free,AF,682
2021-02-28,Free,AF,798
2021-03-31,Canva Pro,AF,21
2021-03-31,Canva Pro,AF,16
2021-03-31,Canva Pro,AF,17
2021-03-31,Canva Pro - NFP,AF,1
2021-03-31,Free,AF,553
2021-04-30,Canva Pro,AF,23
2021-04-30,Canva Pro - NFP,AF,0
2021-04-30,Unknown,AF,1
2021-05-31,Canva Pro,AF,21
2021-05-31,Canva Pro - NFP,AF,2
2021-05-31,Free,AF,681
2021-05-31,Free,AF,625
2021-06-30,Canva Pro,AF,20
2021-07-31,Canva Pro,AF,19
2021-07-31,Canva Pro,AF,17
2021-08-31,Canva Pro,AF,16
2021-08-31,Canva Pro,AF,20
2021-08-31,Canva Pro - NFP,AF,4
2021-08-31,Canva Pro - NFP,AF,3
2021-08-31,Domain,AF,3
2021-08-31,Domain,AF,2
2021-08-31,Free,AF,755
2021-08-31,Free,AF,682
2021-09-30,Free,AF,765
2021-10-31,Canva Pro,AF,19
2021-10-31,Canva Pro,AF,20
2021-10-31,Domain,AF,2
2021-10-31,Education,AF,12
2021-10-31,Unknown,AF,0
2021-11-30,Canva for Teams,AF,3
2021-11-30,Canva Pro,AF,23
2021-11-30,Unknown,AF,1
2021-12-31,Canva Pro,AF,19
2021-12-31,Canva Pro - NFP,AF,3
2021-12-31,Domain,AF,2
2021-12-31,Education,AF,11
2022-01-31,Canva Pro - NFP,AF,4
2022-02-28,Canva Pro - NFP,AF,3
2022-02-28,Canva Pro - NFP,AF,3
2022-02-28,Free,AF,1024
2022-03-31,Canva Pro,AF,42
2022-03-31,Canva Pro,AF,51
2022-03-31,Canva Pro - NFP,AF,4
2022-03-31,Education,AF,9
2022-03-31,Free,AF,1130
2022-03-31,Free,AF,1024
2022-03-31,Unknown,AF,1
2022-03-31,Unknown,AF,1
2022-04-30,Canva Pro - NFP,AF,3
2022-04-30,Education,AF,10
2022-04-30,Free,AF,1721
2022-04-30,Free,AF,1071
2022-04-30,Unknown,AF,0
2022-05-31,Free,AF,1132
2022-05-31,Free,AF,1373
2022-06-30,Canva Pro,AF,51
2022-06-30,Canva Pro - NFP,AF,2
2022-06-30,Canva Pro - NFP,AF,4
